titulo,nota,texto
"TOQUE  DE  RECOLHER",68,"TOQUE DE RECOLHER    Desde os tempos de imposição militar e governos autoritários a ordem de não dar a liberdade a população, no direito de ir e vir, vem sendo praticado em algumas cidades com toque de recolher as crianças e adolescentes como uma forma de diminuir e até erradicar a violência e delitos praticados por eles e contra eles.    O toque de recolher imposto leva à estes indivíduos a mudança ou a fuga para outras localidades onde não estão estabelecidos tais determinações, mudando somente o local (município) onde serão praticados tais atos errados e prejudiciais a eles e a sociedade.    Muitas crianças e principalmente os adolescentes sabe dos seus direitos e fazem valer por isso, pois não temos nem a lei da maioridade penal e assim fazem uso desta brecha jurídica para praticar atos ilícitos e seguir impunes fazendo se valer da defesa que é sua própria idade.    Vendo e sendo uma questão cultural e até mais educacional do que o próprio horário, pois que seja período noturno ou matutino não fará um adolescente se transgredir ou ser violentado, pois a questão não é o horário e sim o meio em que ele vive que levará a práticas erradas ou perigosas a sua integridade .    Pais responsáveis encaminham seus filhos as instituições de ensino e no período ocioso coloca os mesmos em atividades complementares a sua formação, como prática de esportes, atividades culturais ou até mesmo em funções religiosas em igrejas, templos ou centros espíritas, pois desta forma o tempo sobressalente as funções curriculares serão ocupados e neste meio fará a criança ou adolescente ter propósitos e objetivos mais claros a ser seguidos e saindo ou evitando estar na margem do perigo junto as coisas erradas e prejudiciais a eles.    Outra forma eficaz é cursos profissionalizantes aplicados pelo governo, entidades de classe e ONGs, nestes os adolescentes são encaminhados e apreendem uma profissão e antes de sua maioridade terá um norte para seguir, mesmo que sua formação chegue a ser acadêmica o profissionalizante ou curso técnico eleva seu grau de oportunidades e aprendizado que seja curricular ou prático.    A criança e o adolescente em sua formação precisa de sonhos e anseios e a imposição do toque de recolher não ajudará em sua formação, podendo este trazer sim a  revolta e consequentemente falta de oportunidades em sua vida que está no início.MICHEL AGUIAR CARVALHO"
"O TRÁGICO PRECEDENTE",0,
"A MULHER NA SOCIEDADE",0,
"FARRA DAS VERBAS",0,
"TOQUE  DE  RECOLHER",72,"Os jovens no crime    A melhor forma de combater  a criminalidade praticada por jovens não está ligada com o toque de recolher. Os jovens praticando crimes é um problema social que deve ser combatido rapidamente, para assim tirar vários deles das ruas, para que consigam construir um bom futuro para eles e também para evitar que outros jovens entrem para essa vida.     A criminalidade é bastante ativa no Brasil, principalmente em áreas que são deixadas de lado pelo Governo, isso pode ser notado com grande facilidade se analisarmos os dados de uma área com poucas oportunidades e de uma área considerada nobre. A opção de ir pra vida do crime é muita aceita principalmente por jovens que buscam uma forma de ajudar a sua família e tentam ter uma vida melhor. Paras eles essa é a opção mais fácil para conseguirem conquistar seus objetivos. Um fato que não deve ser ignorado é que a criminalidade causa muitas mortes de jovens, sendo assim se diminuir a criminalidade, várias mortes poderão ser evitadas, especialmente as mortes deles.    O toque de recolher não é a melhor forma de se combater esse aumento de criminalidade cometida por jovens, pois simplesmente limitam eles a cometerem seus atos ilícitos de noite, mas ainda terão uma manhã e uma tarde para fazerem seus assaltos. As consequências desse toque de recolher seriam altas e poderiam causar mais problemas, tendo em vista que esses jovens podem se movimentar para outro ambiente, assim o crime só iria para outro local e não diminuiria, sendo o maior objetivo acabar com ele.    Levando em consideração o que foi dito anteriormente, podem ter uma ideia de que se ocuparmos o tempo destes jovens com atividades escolares ou esportivas, eles teriam menos tempo de fazerem ilicitudes. Uma orientação tanto dos pais,quanto das escolas também ajudariam a mostrar a eles que o crime não é a melhor forma, assim tirando a ideia de que o crime é a melhor forma de se ter uma boa vida. A insegurança e o medo de serem assaltados sairiam da cabeça das pessoas, assim podendo andarem tranquilamente na rua durantes as noites e madrugadas."
"BIOGRAFIA NÃO AUTORIZADA",0,
"VIVER É LUTAR",36,"      É impossível viver sem lutar, nossa vida é uma luta constante.Nossa maior luta nem sempre é externa, a nossa maior luta sem sobra de dúvidas é contra nós mesmos, todos os dias devemos matar nossos inimigos internos, sejam eles da procrastinação, do orgulho, de nossas maldades, ou sejam eles aqueles inimigos que nos fazem acreditar que não conseguiremos.    A bíblia nos orienta: ""Quem quiser vir após mim, negue a si mesmo, tome a sua cruz e siga me"" (Lucas 9: 23-26).É necessário contra si mesmo todos os dias.    O inimigo do homem é o próprio homem.O esforço é grande, mas não é impossível!"
"HOMESCHOOLING OU ENSINO DOMICILIAR",56,"O ensino domiciliar e uma forma que alguns pais se adaptaram para dar o ensino aos seus filhos, pois acham mais qualificado que aos estudos em escolas  .Entretanto,  no Brasil o homesclooling e contra a lei, pois todos brasileiros de 14 a 17 anos devem estar matriculados em uma escola.Eventualmente, estamos passando pela a pandemia da covid-19, que fez os estudante se adaptarem a estudar na forma ''ead'' ensino a distância, para que não parassem  seus estudos. Dessa forma, o ensino domiciliar também pode ser uma forma alternativa para os estudantes, mas de uma forma que esteja qualificada para ser exercida ,por exemplo, o ensino domiciliar pode ser bom para aqueles que conseguem ter acesso a tecnologia e conseguira ter um estudo qualificado.Entretanto, a forma de ensino domiciliar não deixa os alunos terem contatos com outras pessoas ,que podem levar outros conhecimento e que podem levar para o mercado de trabalho. Ademais muitos brasileiros não tem a família estabilizada para ter esse ensino domiciliar pois os responsáveis não tem a qualificação suficiente para ajudar o seu próprio filho é também não tem uma situação financeira para ter acesso a internet .Em síntese, o homesclloling '' ensino domiciliar'' tem seus lados positivos e negativos .Portanto ,essa forma alternativa tem que ser estabilizada para que todos consiga ter acesso e se adaptarem aos seus estudos."
"PERSISTÊNCIA E CONQUISTA ",62,"                           Indubitavelmente todos sabem que o sucesso vem de muito trabalho árduo, exige coragem e muita persistência para conseguir conquistar o que se quer. Precisa-se de ânimo para correr atrás de seus sonhos e chegar a vitória, tentar todos os dias ser melhor que ontem e ser uma pessoa melhor, para isso precisa de paciência, com persistência a sua meta e foco no objetivo. Os grandes sonhos levam tempo para ser construídos, pois nada vem fácil, todos pensam que fulano teve sorte de ter tudo que tem hoje, mas só ele sabe como foi difícil chegar onde chegou. Para se ter vitória precisa correr atrás, estudar, ser gentil, ter fé, e sempre manter a cabeça erguida, já dizia William Shakespeare: ""Não se deixe levar pela distância entre seus sonhos e a realidade. Se você é capaz de sonhá-los, também pode realizá-los.""                            As realizações da sua vida só depende de sua persistência, tenha sempre disponibilidade de correr atrás dos seus sonhos, pois é isso que te move, as realizações, nunca será tarde enquanto houver vontade, força e foco para tornar realidade o que se sonha. a realização do que almejamos nos torna seres humanos melhores, fortes e prontos a enfrentar a realidade da vida que nem sempre nos apresenta de maneira fácil, temos que ir a luta constantemente e sermos felizes por termos tido a oportunidade de sonhar e realizar.                         "
"IDOSOS NO BRASIL HOJE ",60,"   No século XX, os grandes avanços da medicina, como a criação das vacinas, foram de extrema importância para reduzir as taxas de mortalidade e expandir a expectativa de vida. Entretanto observa-se como consequência uma possível crise previdenciária, e a dificuldade em que o poder Público tem em ofertar serviços de qualidade aos idosos.                                                                             De acordo com uma pesquisa feita pela UOL, cerca de 46,7% dos jovens e adultos correspondem a uma parcela dos economicamente ativos. Logo, o número de pessoas dependentes do Sistema Previdenciário só aumenta.                                                                       Outro fator em relação a esse crescimento é que o sistema governamental ainda não conseguiu estruturar seus serviços públicos, como por exemplo a saúde. Isso faz com que o aposentado recorra aos hospitais particulares e, com a compra de remédio que acaba comprometendo as condições financeiras.                                                               Portanto, com esses fatores o Estado e a sociedade devem estar preparados para mudanças, por meio de palestras para com a população. Logo, incluindo os idosos no mercado de trabalho, com gratificações, como redução de impostos. Outra medida que pode ser ressaltada é a melhora nos recursos para a saúde."
SOLIDARIEDADE,80,"   De acordo com o sociólogo francês Émile Durkheim ele definiu solidariedade como fator que garante a coesão social em períodos específicos que fazem os indivíduos se sentirem parte de um grupo social. Nesse sentido, o afirmado pelo sociólogo está intimamente relacionada ao cenário atual que estamos vivendo em que se vê cada vez mais exclusão social e falta de empatia por parte das pessoas que faz os indivíduos se sentirem excluídos .Isso ocorre, porque pouco se é discutido e ensinado nas escolas sobre o sentimento de solidariedade e falta de informação populacional correta sobre o que realmente é solidariedade.    Portanto, como afirmado pelo filósofo Immanuel Kant ''O homem é aquilo que a educação faz dele'', ou seja ,o significado de solidariedade para que seja realmente compreendido deve ser trabalhado em escolas desde cedo, o que não tem acontecido atualmente, como em atos em prol do bem coletivo para que as crianças cresçam com o altruísmo mais bem desenvolvido do que seu individualismo. Essa falta de discussão em ambientes de ensino tem gerado uma sociedade individualista nas relações sociais que faz parte do aspecto da essência do homem como ser social em suas relações,  que a solidariedade é o ato que ajuda o coletivo social que é necessário para convivência harmônica em sociedade.    Além disso, o ato de solidariedade pode ser observado  nas pequenas situações de convivência em sociedade no dia a dia como por exemplo ajudar uma pessoa deficiente visual à atravessar a rua de maneira segura e isso para o equilíbrio geral essas atitudes são mais do que necessárias, a solidariedade é notada nos pequenos atos de ajuda coletivo entre as pessoas que motiva um bom funcionamento social. Tendo o cenário da pandemia do Covid 19 em mente, cada vez menos as pessoas tem sido solidárias e em tempos de crise que o sentimento solidário tem sido preciso entre as pessoas que muitos tem se encontrado em situação de pobreza e necessidade, precisam de ajuda mas poucos tem o sentimento solidário despertado e prestam a ajuda necessária a quem precisa.   Conclui-se, portanto, que a solidariedade é um sentimento de extrema importância e que constitui uma forte marca da racionalidade humana na sua essência como ser social, por mais que esteja precisando ser bem desenvolvida nas pessoas, atualmente ainda assim é algo que está dentro das pessoas, mas que somente precisa ser mais trabalhado. Visto que a solidariedade pode ser tanto escutar uma pessoa que está precisando ou respeitar as pessoas de forma geral como está previsto pela constituição.         "
FELICIDADE,26,"Ninguém pode ter tudo que deseja, muitos pensam q a felicidade é ter tudo, porém pessoas de classes baixas sempre tem pouco e são mais felizes que aquelas que tem muito, então a felicidade não é algo que pode ser exposto e algo que tem que ser vivido. As pessoas de classes mais baixas sempre são mais felizes por ter amigos próximos, então quem tem pessoas especiais ao seu lado certeza que vão ter a felicidade também."
"FORMAÇÃO SOCIEDADE BRASILEIRA",32,"A Miscigenação Racial na sociedade Brasileira são varias misturas de etnias e são inúmeras raças que compõem a sociedade do Brasil ,são elas indígenas ,africanos imigrantes europeus e asiáticos.No Brasil a primeira mistura do povo Brasileiro aconteceu em 1500 com a chegada dos portugueses.Ao longo do tempo esse conceito foi aproveitado por varias ideologias para justificar os defeitos e os e as qualidades do pais ,exemplo:separar o negro do branco e a sociedade pobre das ricas.O pais tem três tipos de etnia os negros os brancos e os indígenas ,esse tipo de mistura de raça que forma o nosso pais ,assim formamos a sociedade Brasileira.Darcy Ribeiro dizia no seu livro que viemos tanto do povo indígena quanto dos africanosHoje em dia no brasil devemos olhar por outro lado ,porque a nossa sociedade e mestiça seja ele pardo negro branco ou indígena,e o gênero textual pelo que eu entendi se refere a isso e também sobre o racismo,porque não só os negros mas as outras raças também sofrem. Então ambos os textos estão mostrando realidades diferentes e etnias diferentes .O texto 1fala sobre a igualdade que não importa a cor a raça todos já fizemos coisas iguais ou parecidas .O texto 2 eles tratam a africana negra como uma deusa porque cada uma tem sua religião e por ultimo o texto 3 fala sobre uma mulher preta de coração bom então eles estão falando sobre igualdade social sem se importar com a cor e a raça todos merecem ser tratados igualmente ."
"APARÊNCIA X ESSÊNCIA",28,"Atualmente vivemos em uma sociedade onde brigamos para mostrar superioridade sobre os outros, uma verdadeira disputa de poder. Nosso meio social é uma verdadeira troca de aparecencias e identidades falsas, tendo em vista que todos nós queremos demonstrar uma vida que nem sempre é a verdade, por trás "
